medicine_name,treatment
Gastrogelyl XR 5mg,Boğaz enfeksiyonu
Gastroguarder Duo 100,Ağrı kesici
Gastroguardin 5mg,Kabızlık tedavisi
Gastromaxis XR 20mg,Soğuk algınlığı semptomları
Gastromaxon XR 20mg,İltihap giderici
Gastropharmex Plus 5mg,Vitamin desteği
Gastropharmon SR 10mg,Tansiyon kontrolü
Gastropluser SR 250,Soğuk algınlığı semptomları
Gastroplusix Plus,Kas gevşetici
Gastroplusix SR 200,Soğuk algınlığı semptomları
Gastropressal SR 5mg,Uyku düzenleyici
Gastropresser SR 50,İltihap giderici
Gastroreliefal 5mg,Mantar enfeksiyonu
Gastroreliefen XR 50,Tiroid hormonu
Gastroreliefin Forte 250,Bulantı ve kusma
Gastroreliefix Duo 20mg,Astım tedavisi
Gastrosprayix,Tiroid hormonu
Gastrosprayol Plus 100,Kan sulandırıcı
Gastrostaten Forte 100,Kalp ritim düzenleyici
Gastrostatet Duo 500,Demir eksikliği
Gastrostatex Forte,Kalp ritim düzenleyici
Gastrostatol Forte 100,Kalp ritim düzenleyici
Gastrostatum XR 20mg,Öksürük baskılayıcı
Gastrotabsum XR 200,Astım tedavisi
Gastrotabsyl Forte 250,Tansiyon kontrolü
Gastrothyroer SR,Alerjik rinit
Gastrothyroet Plus 200,Bulantı ve kusma
Gastrothyroum SR 250,Diyabet tedavisi
Gaviscon,Astım tedavisi
Glukofen,Bakteriyel enfeksiyon
Iliadin,Ağrı kesici
Januvia,Ateş düşürücü
Kardcareon Duo 20mg,Yara ve yanık bakımı
Kardcareon Plus 500,Anksiyete (destek)
Kardcureex Plus 200,Vitamin desteği
Kardgelix SR 10mg,Kalp ritim düzenleyici
Kardgelol,Bakteriyel enfeksiyon
Kardgelyl SR 5mg,İdrar yolu enfeksiyonu
Kardglucoen Forte,Anksiyete (destek)
Kardglucoer Plus 250,Tansiyon kontrolü
Kardglucoer XR 500,Mide yanması / reflü
Kardglucoex 500,Cilt enfeksiyonu
Kardglucoex XR,İshal tedavisi
Kardglucoid XR 5mg,Alerjik rinit
Kardglucoor Plus 100,İltihap giderici
Kardglucoyl Plus 20mg,Tiroid hormonu
Kardguardyl Forte 250,Ateş düşürücü
Kardguardyl Plus 100,İdrar yolu enfeksiyonu
Kardmaxen SR 250,Kabızlık tedavisi
Kardpharmal Duo,Soğuk algınlığı semptomları
Kardpharmix Plus 200,Balgam söktürücü
Kardplusax SR 10mg,İltihap giderici
Kardplusum 50,Demir eksikliği
Kardplusum 500,Kas gevşetici
Kardplusyl Duo 10mg,İdrar yolu enfeksiyonu
Kardpressum XR 10mg,İltihap giderici
Kardreliefol XR 500,Diyabet tedavisi
Kardsprayen Plus 500,Demir eksikliği
Kardstatax Forte,Bakteriyel enfeksiyon
Kardstaton Duo 50,Kabızlık tedavisi
Kardstator XR 50,Kas gevşetici
Kardsyrupen Plus 250,Astım tedavisi
Kardsyrupix Plus,Mantar enfeksiyonu
Kardtabser Forte 10mg,Bakteriyel enfeksiyon
Kardtabsum Duo 250,Burun tıkanıklığı
Kardtabsyl Plus 50,Burun tıkanıklığı
Kardthyroex 200,İdrar yolu enfeksiyonu
Kardthyroid 200,Yara ve yanık bakımı
Klamoks,Mide yanması / reflü
Lansor,Bakteriyel enfeksiyon
Letrox,Tiroid hormonu
Maalox,Yara ve yanık bakımı
Majezik,Cilt enfeksiyonu
Medicapsex Forte 500,Kas gevşetici
Medicapsix Plus 10mg,Bulantı ve kusma
Medicareax SR 10mg,Vitamin desteği
Medigelal Forte,Migren tedavisi
Mediglucoal XR 50,Kas gevşetici
Mediguardis Forte 20mg,Tansiyon kontrolü
Mediguardon Plus 200,Kalp ritim düzenleyici
Medimaxax Forte 200,Burun tıkanıklığı
Medimaxin 10mg,Tiroid hormonu
Medimaxor Plus 20mg,Tiroid hormonu
Medimaxyl 250,Mide yanması / reflü
Medipharmax Forte 20mg,Yara ve yanık bakımı
Mediplusax 200,Kalp ritim düzenleyici
Mediplusor SR 100,Bulantı ve kusma
Medipresset SR 50,Uyku düzenleyici
Medireliefen Forte 50,İdrar yolu enfeksiyonu
Medireliefid SR 10mg,Bakteriyel enfeksiyon
Medisyrupid 100,Yara ve yanık bakımı
Medisyrupid Duo 250,Mide yanması / reflü
Medisyrupix Plus 5mg,Anksiyete (destek)
Medisyrupon 5mg,Kas gevşetici
Meditabsor Plus 100,Tiroid hormonu
Meditabsor Plus 250,Tiroid hormonu
Metformin,Astım tedavisi
Minoset,Kalp ritim düzenleyici
Monodoks,İdrar yolu enfeksiyonu
Muscoflex,Boğaz enfeksiyonu
Nazivin,Kabızlık tedavisi
Neocapset 10mg,Göz enfeksiyonu
Neocapsyl Forte 5mg,Öksürük baskılayıcı
Neocureal Plus 10mg,Demir eksikliği
Neocureid Forte 100,Kan sulandırıcı
Neocureor Plus 5mg,Öksürük baskılayıcı
Neogelax 500,İshal tedavisi
Neogeler Plus 200,Kas gevşetici
Neogeler XR,Cilt enfeksiyonu
Neogelex XR 5mg,Kalp ritim düzenleyici
Neogelon XR 500,İltihap giderici
Neogelum 20mg,Soğuk algınlığı semptomları
Neoguardal Forte 5mg,İshal tedavisi
Neopharmet 50,Kabızlık tedavisi
Neopharmon 500,Uyku düzenleyici
Neopluset Duo 20mg,Kabızlık tedavisi
Neopluset Duo 50,Göz enfeksiyonu
Neopluset Duo 500,Yara ve yanık bakımı
Neopluson Forte 10mg,Ağrı kesici
Neopressal Forte 20mg,Kabızlık tedavisi
Neopresset 200,İshal tedavisi
Neopressis Plus,Alerjik rinit
Neopressol SR 100,Uyku düzenleyici
Neoreliefax,İdrar yolu enfeksiyonu
Neosprayal Forte 200,Kabızlık tedavisi
Neosprayis Plus 100,Diyabet tedavisi
Neosprayon SR 10mg,İdrar yolu enfeksiyonu
Neostator XR 200,Burun tıkanıklığı
Neosyrupal XR 100,Mantar enfeksiyonu
Neotabsax XR 100,Kalp ritim düzenleyici
Neotabset Duo 20mg,Anksiyete (destek)
Neotabsix XR 100,Tansiyon kontrolü
Neothyroet 20mg,Yara ve yanık bakımı
Nexium,Boğaz enfeksiyonu
Norflex,Kan sulandırıcı
Norvasc,Migren tedavisi
Nurocareal Plus,Anksiyete (destek)
Nurocareex SR,Balgam söktürücü
Nurocareis 20mg,Uyku düzenleyici
Nurocureal Duo 250,Burun tıkanıklığı
Nurocureer XR 10mg,Kabızlık tedavisi
Nurocureex 250,Kan sulandırıcı
Nurocureex Forte 100,Burun tıkanıklığı
Nurocureid Duo 250,Tiroid hormonu
Nurogelet 5mg,İltihap giderici
Nuroglucoix SR 100,Bakteriyel enfeksiyon
Nuroguardin 500,Mide yanması / reflü
Nuroguardin Duo 10mg,Ateş düşürücü
Nuromaxex XR 200,Boğaz enfeksiyonu
Nuromaxix Plus 5mg,Tiroid hormonu
Nuromaxol SR 50,Mantar enfeksiyonu
Nuromaxyl Forte 100,Mide yanması / reflü
Nuropharmid Forte 20mg,İshal tedavisi
Nuropharmol Plus 50,Göz enfeksiyonu
Nuroplusix Plus 200,Bakteriyel enfeksiyon
Nuropressex Forte 10mg,Kalp ritim düzenleyici
Nuropressin Plus 10mg,İdrar yolu enfeksiyonu
Nuropresson XR,Migren tedavisi
Nuroreliefal 200,Göz enfeksiyonu
Nuroreliefex Duo 5mg,Boğaz enfeksiyonu
Nuroreliefum 500,Migren tedavisi
Nurostaten Duo 10mg,Migren tedavisi
Nurostatid,Anksiyete (destek)
Nurostatum 500,Mide koruyucu
Nurosyrupex XR 50,Tansiyon kontrolü
Nurosyrupid SR 250,Mide koruyucu
Nurosyrupix SR,Astım tedavisi
Nurotabsen XR 500,Migren tedavisi
Nurotabset SR 50,Bulantı ve kusma
Nurotabsid 100,Kas gevşetici
Nurotabsol 5mg,İltihap giderici
Nurotabsum Forte 10mg,Soğuk algınlığı semptomları
Nurothyroal SR 250,Kas gevşetici
Nurothyroet Forte 10mg,Ağrı kesici
Otrivine,Tiroid hormonu
Pantpas,Astım tedavisi
Parol,Bakteriyel enfeksiyon
Plavix,Soğuk algınlığı semptomları
Procapser SR 200,Mide yanması / reflü
Procapsyl Plus 250,Ağrı kesici
Procareex Duo 500,Kabızlık tedavisi
Procareis Plus 50,Anksiyete (destek)
Procareol Plus,Kan sulandırıcı
Procureal Forte 200,Kas gevşetici
Procureer Forte 5mg,Uyku düzenleyici
Progelid SR 200,Migren tedavisi
Progelol Duo 50,Ateş düşürücü
Proglucoen Plus 200,Ağrı kesici
Proglucoer Plus 10mg,Tiroid hormonu
Proguardis Forte 250,Ağrı kesici
Proguardis SR 250,Ateş düşürücü
Promaxal Forte 500,Cilt enfeksiyonu
Propharmax Duo 5mg,Mantar enfeksiyonu
Proreliefal Duo 20mg,Ateş düşürücü
Proreliefax XR 50,Vitamin desteği
Proreliefyl Plus 5mg,Bulantı ve kusma
Prosprayix Plus 5mg,Balgam söktürücü
Prosprayix SR 250,Balgam söktürücü
Prostatis,Mide yanması / reflü
Prosyrupet Plus 500,İdrar yolu enfeksiyonu
Prosyrupum XR 10mg,İshal tedavisi
Prosyrupyl Forte 5mg,Boğaz enfeksiyonu
Protabsax Forte 200,Tansiyon kontrolü
Protabset SR 50,Cilt enfeksiyonu
Protabsex Duo 5mg,Diyabet tedavisi
Protabsin Duo 100,Öksürük baskılayıcı
Prothyroal 10mg,Kan sulandırıcı
Prothyroon Duo 10mg,Diyabet tedavisi
Pulmicort,Anksiyete (destek)
Respcapson Forte 20mg,İdrar yolu enfeksiyonu
Respcareax SR 50,Bakteriyel enfeksiyon
Respcareex SR,Yara ve yanık bakımı
Respcarein SR 250,Öksürük baskılayıcı
Respcureal Plus 10mg,İltihap giderici
Respcureex 100,Öksürük baskılayıcı
Respcureon SR,Diyabet tedavisi
Respgelol SR 5mg,Kalp ritim düzenleyici
Respglucoin Duo 100,Kalp ritim düzenleyici
Respglucool SR 100,Uyku düzenleyici
Respglucool XR 20mg,Kas gevşetici
Respguardis 50,Ağrı kesici
Respguardix XR 5mg,Mide koruyucu
Respmaxer 5mg,Öksürük baskılayıcı
Respmaxet Duo 100,Migren tedavisi
Resppharmol 5mg,Vitamin desteği
Respplusin Forte 5mg,Göz enfeksiyonu
Respplusix Forte 10mg,Balgam söktürücü
Respplusor Plus 100,İltihap giderici
Resppressal Duo 100,Bakteriyel enfeksiyon
Resppressex Forte 50,Kabızlık tedavisi
Resppressex Plus 200,Uyku düzenleyici
Resppressol Forte 100,Cilt enfeksiyonu
Respreliefet 20mg,İltihap giderici
Respreliefet Plus 20mg,Soğuk algınlığı semptomları
Respsprayen SR 50,Cilt enfeksiyonu
Respsprayor Plus 500,İltihap giderici
Respstatid Plus 100,Bulantı ve kusma
Respsyrupid XR 5mg,Burun tıkanıklığı
Respsyrupin Forte 10mg,Ateş düşürücü
Respsyrupin XR 50,Kabızlık tedavisi
Respthyroen Plus 20mg,Mide yanması / reflü
Respthyroex 50,Diyabet tedavisi
Seretide,Soğuk algınlığı semptomları
Sirdalud,Yara ve yanık bakımı
Suprax,Mide koruyucu
Symbicort,İdrar yolu enfeksiyonu
Telfast,Kalp ritim düzenleyici
Tylol,Göz enfeksiyonu
Ultracapsax SR 100,Kalp ritim düzenleyici
Ultracapson XR 200,Astım tedavisi
Ultracapsyl XR 250,Öksürük baskılayıcı
Ultracareis XR 50,Tansiyon kontrolü
Ultracureen Forte 500,Kas gevşetici
Ultracureor SR,Balgam söktürücü
Ultraglucoen SR,Vitamin desteği
Ultraglucoet Duo 500,Bakteriyel enfeksiyon
Ultraglucoex Duo 500,Soğuk algınlığı semptomları
Ultraglucoin XR 200,Göz enfeksiyonu
Ultraglucoon SR 10mg,Diyabet tedavisi
Ultraguardix Plus 5mg,Burun tıkanıklığı
Ultraguardol Forte 20mg,Ateş düşürücü
Ultramaxet XR,Cilt enfeksiyonu
Ultramaxor XR 500,Demir eksikliği
Ultrapharmid 20mg,Migren tedavisi
Ultrapharmid XR 5mg,Bakteriyel enfeksiyon
Ultrapharmis Plus 50,Tansiyon kontrolü
Ultraplusol Forte 500,Kalp ritim düzenleyici
Ultraplusum Plus 50,Vitamin desteği
Ultrapressol 250,Bulantı ve kusma
Ultrareliefer 250,Kalp ritim düzenleyici
Ultrareliefin Plus 10mg,Öksürük baskılayıcı
Ultrasprayon Duo 5mg,Mantar enfeksiyonu
Ultrastatal Duo 250,İdrar yolu enfeksiyonu
Ultrasyrupex XR 5mg,Soğuk algınlığı semptomları
Ultrasyrupyl Duo 5mg,Öksürük baskılayıcı
Ultrasyrupyl Forte 5mg,Cilt enfeksiyonu
Ultrathyroer 200,Mide yanması / reflü
Ultrathyroix SR 500,Kalp ritim düzenleyici
Ventolin,Mide yanması / reflü
Vermidon,Kalp ritim düzenleyici
Vitacapsyl XR,Burun tıkanıklığı
Vitacareax Duo 250,Kan sulandırıcı
Vitacarein Forte 100,Balgam söktürücü
Vitacareix SR 250,Öksürük baskılayıcı
Vitacareon Forte 200,Ağrı kesici
Vitacureon 5mg,Yara ve yanık bakımı
Vitacureum Plus 100,Demir eksikliği
Vitageler 10mg,Kan sulandırıcı
Vitagelet 250,Cilt enfeksiyonu
Vitagelin Plus 50,Balgam söktürücü
Vitagelum 250,Astım tedavisi
Vitaglucoon 200,Öksürük baskılayıcı
Vitaglucoum Plus 5mg,Bulantı ve kusma
Vitaguardet 250,Vitamin desteği
Vitaguardol Forte 500,Demir eksikliği
Vitamaxis Plus 100,Tiroid hormonu
Vitamaxon XR 20mg,Balgam söktürücü
Vitapharmal Duo 100,Ateş düşürücü
Vitapharmen Forte 50,Öksürük baskılayıcı
Vitapharmor Forte 500,Tansiyon kontrolü
Vitapluser Duo 5mg,Öksürük baskılayıcı
Vitaplusex Duo 50,Burun tıkanıklığı
Vitaplusol Forte 500,Kalp ritim düzenleyici
Vitapresset Duo,Ağrı kesici
Vitapressex Plus 10mg,Mantar enfeksiyonu
Vitapresson SR,Tiroid hormonu
Vitareliefon 20mg,Kalp ritim düzenleyici
Vitareliefor Plus 200,Öksürük baskılayıcı
Vitastatal 100,İdrar yolu enfeksiyonu
Vitastaten Duo 250,Mide koruyucu
Vitastater 500,Kalp ritim düzenleyici
Vitastater XR 500,Mide koruyucu
Vitastatix Plus 20mg,Astım tedavisi
Vitasyrupen Plus 500,Cilt enfeksiyonu
Vitasyrupex XR 50,Yara ve yanık bakımı
Vitasyrupin Forte 10mg,Cilt enfeksiyonu
Vitatabsin SR 5mg,Migren tedavisi
Vitatabsix XR 100,Mide yanması / reflü
Vitathyrois Forte,Soğuk algınlığı semptomları
Voltaren,Mide koruyucu
Zinnat,Vitamin desteği
Zyrtec,Cilt enfeksiyonu
